boat,phrf,loa,displacement
"C&C Mod 43-2 ""Silver Shadow""",81,43.00,
C&C Redline 41-1,120,41.00,17000
C&C Redline 41-2,18,40.70,15100
C&C Redwing 30,204,30.00,7500
Cal 2-29,186,29.00,8000
Cal 2-30,174,30.00,10300
Cal 20,282,20.00,1950
Cal 21,276,21.00,1100
Cal 24,246,24.00,3000
Cal 24 Mk III,222,24.30,3300
Cal 24-2,228,24.00,3700
Cal 25,228,25.00,4470
Cal 25-2 IB,228,25.30,
Cal 25-2 OB,222,25.30,4500
Cal 27 Mark III,204,27.70,5200
Cal 27-2 TM IB,198,27.00,6000
Cal 28 IB,210,28.00,6000
Cal 28-2,180,28.30,7200
Cal 28-2 SD,192,28.20,7200
Cal 29 OB,180,29.00,6232
Cal 3-30,168,30.00,12145
Cal 30,192,30.00,
Cal 31,162,31.50,91700
Cal 33,156,33.00,9000
Cal 33-2,132,33.00,10800
Cal 33-2 SD,132,33.00,10000
Cal 34-1,180,34.00,9620
Cal 34-2,174,34.00,10200
Cal 35 Mk II DK,138,35.00,13000
Cal 36,150,36.00,11200
Cal 36 Cruising,168,36.00,12000
Cal 37,108,37.00,
Cal 39,114,39.00,14600
Cal 39 Mark II Tall Mast,105,39.00,17000
Cal 39 MARK III TM,105,39.00,17000
Cal 39 SD SR,120,39.00,18000
Cal 39-3 SD,117,39.00,17000
Cal 39-4 Wing Keel,108,39.00,17500
Cal 40,126,40.00,15000
Cal 43,102,43.00,20000
Cal 48,96,48.00,25000
Cal 9.2,180,30.00,7000
Cal 9.2 DK,174,30.00,7000
Cal 9.2R,162,30.00,7000
"Cal Mod 34-1 ""Vertago""",168,33.50,9620
"Cal Mod 39-2 ""Sueno""",102,39.00,
Cal T/2 Inboard,198,30.00,5400
Cal T/4 Quarter Ton,234,27.00,2000
Calkins 50,102,50.00,
Cambria 40 Centerboard,114,41.00,28745
Cambria 44 Centerboard,90,46.00,29400
Cambria 46 Centerboard,87,46.30,29400
Cape Dory 22 Typhoon Senior,276,22.42,3300
Cape Dory 25 Outboard,246,24.80,4000
Cape Dory 27,240,27.00,7500
Cape Dory 28,216,28.00,9000
Cape Dory 30 Ketch,228,30.00,10000
Cape Dory 30 Sloop,201,30.00,10000
Cape Dory 30 Tall Mast,192,30.00,10000
Cape Dory 300 MS,306,31.90,11500
Cape Dory 32,192,34.16,11750
Cape Dory 33,183,33.00,13300
Cape Dory 36,156,36.00,16100
Cape Dory Intrepid 9M,198,28.00,9200
Cape Dory Typhoon,300,19.00,2000
Cape Fear 38 Regatta,45,37.80,11131
Cape Henry 21,279,20.90,3195
Capri 22,204,22.00,2150
Capri 22 Tall Rig Wing Keel,207,22.00,2250
Capri 22 WK,213,22.00,2250
Capri 25,174,25.00,2785
Capri 37,75,37.00,11000
Cardinal 46,99,46.40,34575
Carlson 29,201,29.00,
Carrera 280,96,28.00,2997
Carrera 290,111,29.20,4035
Carter 30,174,30.00,7350
Carter 33,180,33.00,7400
Carter 33 TM,174,33.00,7400
Carter 36,120,35.50,12323
Carter 37,120,37.00,15300
Carter 37 MOD Lively Lady,123,37.10,15300
Carter 38,114,38.00,
Carter 39,120,39.00,17500
Carter 41,90,41.60,17600
Cascade 29,228,29.00,3978
Catalina 22,270,22.00,2250
Catalina 22 Sport,273,23.82,2380
Catalina 25 Fixed Keel OB,237,25.00,4500
Catalina 25 OB SK,240,25.00,4150
Catalina 25 TM FK,231,25.00,4550
Catalina 250 CB,216,25.00,3250
Catalina 250 WK,237,25.00,3455
Catalina 27 Inboard,210,27.00,6550
Catalina 27 Shoal Draft Inboard,216,27.00,6550
Catalina 27 Tall Mast Inboard,204,27.00,6550
Catalina 270 W,204,27.00,6240
Catalina 275,189,27.50,5000
Catalina 30,192,30.00,10200
