boat,phrf,loa,displacement
Hunter 430,114,42.50,23800
Hunter 45 CC,126,45.00,22936
Hunter 45 DS Wing,123,43.20,22936
Hunter 450 Wing,123,44.30,24992
Hunter 460,108,44.30,28000
Hunter 466,108,46.10,26180
Hunter 466 SD,114,46.00,30000
Hunter 54,69,54.00,
Hurley 22,300,22.00,
Hylas 42,96,42.10,17600
Hylas 46 TM DK,84,46.30,27700
Hylas 47,93,46.80,32000
Hylas 54,63,54.90,47184
Ideal 18 ODR,249,17.90,1240
ILC 40,6,41.00,13109
ILC 46,-15,47.60,18027
Imperial 23,288,23.00,
Impulse 21,183,21.00,1300
Impulse 21 MH,183,21.00,1300
Impulse 26 Inboard,138,26.00,3000
Impulse 26 OUtboard,132,26.00,3810
IMX 38,63,37.30,11949
IMX 40,39,39.70,14200
IMX 45 Tall Mast Deep Keel,-3,45.10,22240
"International ""H""",189,27.00,3100
International One Design,150,33.00,7300
Intrepid 35,162,35.00,15600
Intrepid 35 Tall Rig,159,35.00,15600
Intrepid 40,141,40.00,27050
Irwin 1/2 Ton,168,30.10,7300
Irwin 23,234,23.00,3200
Irwin 24,237,24.00,3220
Irwin 24 1/4 Ton,216,24.00,
Irwin 25 10/4,270,25.00,
Irwin 25 Centerboard,225,25.00,5400
Irwin 28-1,204,28.00,7900
Irwin 30,174,30.00,10000
Irwin 30 Centerboard,180,30.00,10000
Irwin 30 Citation,180,30.00,10400
Irwin 30 Competition,171,30.00,10000
Irwin 31,204,31.00,9600
Irwin 31 Citation,165,31.20,9300
Irwin 32,174,32.00,11300
Irwin 32 Citation Shoal Draft,165,32.33,10500
Irwin 32.5 Ketch,234,32.60,13000
Irwin 34,153,34.00,
Irwin 34 Citation,165,34.30,11900
Irwin 35 Citation,135,35.40,11500
Irwin 37 Competition,126,37.00,16000
Irwin 37 Ketch,198,37.00,22000
Irwin 37 One Ton,123,37.00,15400
Irwin 38-2,144,38.00,20000
Irwin 39 Citation CB,135,39.90,18000
Irwin 40,168,40.10,20000
Irwin 40 Citation CB,126,39.40,17390
Irwin 41 CB Ketch,150,41.00,25000
Irwin 46,180,45.50,33000
Irwin 52-3 Ketch,105,52.00,46500
Irwin 54 Ketch,105,58.40,46000
Irwin 68,78,67.90,78000
Island Packet 29,216,29.00,11900
Island Packet 31,198,31.00,11000
Island Packet 35,192,38.00,17500
Island Packet 38,168,38.00,21500
Island Packet 40,159,41.50,22800
Island Packet 41,159,41.60,21500
Island Packet 44,135,44.50,27500
Island Trader 38 Ketch,210,38.00,24200
Island Trader 41 Ketch,240,40.00,29000
Islander 23,240,23.00,2000
Islander 24,258,24.00,
Islander 26,228,26.70,4300
Islander 28,198,28.00,7000
Islander 29/30,246,29.00,8400
Islander 30-2,183,30.00,8600
Islander 32-2,186,32.00,
Islander 32-3,168,32.00,10500
Islander 33,234,33.00,
Islander 34,210,34.00,10400
Islander 34-2 Wing,156,34.30,9656
Islander 36,144,36.00,13000
Islander 37 Ketch,222,37.00,
Islander 40 Ketch,276,40.00,
Islander 55 CB,75,55.00,48000
Islander Bahama 24,264,24.00,4200
Islander Bahama 30,180,29.90,
Islander Bahama 36,216,36.00,
Islander Excalibur 26,222,25.10,3700
Islander Peterson 40,84,39.60,17700
J Boats 100,81,32.80,6500
J Boats 105,87,34.50,7800
J Boats 105 ODR,96,34.50,7800
J Boats 105 SD ODR,111,34.50,7750
J Boats 109,63,35.30,10900
J Boats 111,30,36.42,9300
J Boats 112e,54,36.00,11300
J Boats 120,45,40.00,12900
J Boats 120 OD,,40.00,12900
J Boats 120 SD,54,40.00,13900
J Boats 122,33,40.00,14900
J Boats 124,42,40.70,12500
J Boats 125,-6,41.00,8600
J Boats 130,30,42.70,15500
J Boats 133,9,43.00,17900
J Boats 145,-21,48.10,19000
J Boats 145C,-18,48.00,21623
J Boats 160,3,52.70,33000
J Boats 22,177,22.50,1790
J Boats 24,174,24.00,3400
"J Boats 24 Special ""Erendil""",171,24.00,3400
J Boats 27-1,129,27.50,3800
J Boats 27-2,123,27.50,3800
J Boats 28,177,28.40,7900
J Boats 28 SD,183,28.40,7900
J Boats 29 Fractional Inboard,126,29.00,6000
J Boats 29 Fractional Outboard,120,29.00,6000
J Boats 29 Long J OB,117,29.00,6000
J Boats 29 Masthead Inboard,120,29.00,6000
J Boats 29 Masthead Outboard,114,29.00,6000
J Boats 30,141,30.00,6500
J Boats 30 ODR,135,30.00,6500
J Boats 32,120,32.40,10000
J Boats 32 SD,126,32.00,10000
J Boats 33,87,33.50,7500
J Boats 34,120,34.00,8100
J Boats 34C,126,34.50,11000
J Boats 35,72,35.50,10000
J Boats 35 C SD,108,35.20,11800
J Boats 35C,102,35.20,11800
J Boats 36,84,36.00,10700
J Boats 37,72,37.50,13500
J Boats 37 Wing,81,37.50,13500
J Boats 37c,72,37.50,15000
J Boats 37c Shoal Draft,81,37.50,14500
J Boats 39,51,39.50,12900
J Boats 40,75,40.30,17000
J Boats 40 SD,87,40.00,15500
J Boats 41,72,41.90,15500
J Boats 42,72,42.00,19700
J Boats 44,30,44.50,20600
J Boats 44 W,51,44.50,24000
J Boats 46,42,46.00,25000
J Boats 46 DK,36,46.00,25000
J Boats 70,117,22.75,1750
J Boats 80,114,26.30,2900
J Boats 80 ODR,129,26.30,2900
J Boats 88,84,29.19,5000
J Boats 90 ODR,51,30.00,3200
J Boats 92,108,30.00,5500
J Boats 92S,99,30.00,5610
J Boats 95,117,31.20,6000
J Boats 97,108,31.53,8600
"J Boats Mod 24 ""Wavedancer""",171,24.00,
"J Boats Mod 29 Fr OB ""Wow""",120,29.00,6000
"J Boats Mod 29 Masthead ""Monitor""",117,29.00,
"J Boats Mod 34 ""Jagular""",120,34.00,8100
"J Boats Mod 36 ""Smiling Banshee""",84,36.00,
"J Boats Mod 41 ""Aeroplane""",69,41.00,
Javelin 35,186,35.00,
Jeanneau 27 Fantasia,195,27.30,5291
Jeanneau 32 Attalia,147,31.80,7500
Jeanneau 34 Sunrise,132,34.60,10315
Jeanneau 34.2 Sun Odyssey,120,33.80,10253
Jeanneau 349,135,33.90,11775
Jeanneau 35 Sun Odyssey,120,35.30,11550
Jeanneau 35 Sunrise,84,34.80,8047
Jeanneau 36-2 Sunfast,96,37.10,13668
Jeanneau 36.2 Sun Odyssey,150,36.10,12320
Jeanneau 36.5 Sunshine,123,36.50,12000
Jeanneau 3600 Sunfast,51,35.50,10360
Jeanneau 36i Performance,117,35.80,12522
Jeanneau 37 Sun Odyssey,138,37.30,13448
Jeanneau 37-2 Sunfast,114,37.30,13448
Jeanneau 379 Sun Odyssey,90,37.20,14770
Jeanneau 39i Performance Deep Keel,129,38.20,16163
Jeanneau 39i Sun Odyssey SD,141,38.90,16538
Jeanneau 40 Sun Fizz,117,39.00,16000
Jeanneau 40.3 Sun Odyssey SD,99,40.00,16645
Jeanneau 409,96,40.40,16424
Jeanneau 42 DS SD,90,42.40,18083
Jeanneau 43 Sun Odyssey SD,111,43.30,20955
Jeanneau 44 Sun Magic,108,43.80,22050
Jeanneau 45 Sun Kiss,102,43.50,25352
Jeanneau 47 Sun Kiss,87,47.10,25353
Jeanneau 49 Sun Odyssey,108,49.10,28661
Jeanneau 50 DS SD,57,49.50,29547
Jeanneau 509 Sun Odyssey,54,50.40,32026
Jeanneau 51 Sun Odyssey,51,50.30,32900
Jeanneau 52 Sunfast,57,51.00,28660
Jeanneau 53,51,52.70,34889
Jeanneau 990,171,34.00,12000
"Jeanneau Mod Sunrise 34 ""Presto""",132,34.60,10315
Jeanneau Regatta 39 MH,96,39.20,10600
Jensen 24,168,24.00,
Jon Meri 40,105,40.00,18900
Jon Meri 40 DK,102,39.70,22073
Jon Meri 48,60,47.70,34480
Jouet 950,177,31.20,7938
Jupiter 30,171,29.40,7480
Kaiser 34,174,34.00,
Kaiser 39,174,39.00,
Kalik 33 TM,153,33.00,10700
Kalik 40 IK,105,39.50,18500
"Kalik Mod 33 ""Anegada""",150,33.00,
Kantor 51,87,51.00,47000
Kelly 24,186,24.00,3400
Kelt 7.6,210,24.80,4500
Ker 11.3,33,37.50,
Ker 11.5,30,37.10,10025
Ker 50,-39,50.40,21265
Kettenberg 41,180,41.00,17000
King 24 T,204,24.00,
King Summit 40,12,39.80,15400
Kings Cruiser 29,228,28.50,
Kings Cruiser 29 Wood,306,28.50,
Kinney 46,132,46.00,
Kirby 23,168,23.00,2270
Kirby 24,192,24.00,
Kirby 24 K,168,24.00,
Kirby 25 IB,171,25.20,3200
Kirby 30,141,30.00,5750
Kirby 40,84,40.00,13600
Kirie 396,141,38.50,17680
Kiwi 24,210,24.00,
Kiwi 30,159,30.00,7200
Kiwi 35 Outboard,57,35.00,2800
Kiwi 36 One Ton,114,35.90,12000
Kiwi Miniton,216,22.00,1330
Knarr 30,210,30.40,4950
Knarr 35,198,35.00,
Knutson 35,192,35.00,
Kramer 24,222,24.00,3000
LaCoste 36,132,36.50,15910
LaCoste 42 Special Edition,102,42.20,21647
LaFitte 44,120,44.40,28000
Lager 40,63,39.70,12300
Lager 44,75,44.90,27500
Lancer 28,258,28.00,5200
Lancer 29 Mark I,189,28.70,7800
Lancer 36 7/8,129,36.00,7500
Lancer 36 MH,141,36.00,10500
Landing School 26,207,26.00,4650
Lapworth 24,264,24.00,
Lapworth 32,198,32.00,
Lapworth 36,162,36.00,12000
Lapworth 40,162,40.00,17800
Lapworth 44,120,44.00,
Laser 28,135,28.40,3950
Lazy Jack 32,234,31.70,12500
Liberty 458,138,45.70,30600
Lindenberg 22,210,22.00,1800
Lindenberg 24,165,24.00,2800
Lindenberg 26 IB,183,26.00,5300
Lindenberg 28 Tall Rig,120,28.00,4000
Lindenberg 30,123,30.00,6900
Lindenberg 33,,33.00,
Lion 35,234,35.00,
Lippincott 30,177,30.00,8600
Lippincott 30 Shoal Draft,180,30.00,8600
Little Harbor 38 CB,126,38.00,20600
Little Harbor 39,75,39.80,18030
Little Harbor 44,111,44.20,34350
Little Harbor 50 CB,69,50.90,43200
Little Harbor 52 CB,69,52.30,54000
Little Harbor 53 CB,69,52.70,58000
Little Harbor 54 Centerboard,69,53.20,53129
Little Harbor 60 CB,30,60.40,82250
Little Harbor 62 CB,30,61.60,91000
Little Harbor 78,24,78.00,162000
Loki Yawl,174,38.10,18000
Lord Nelson 41,156,41.00,30500
LS 10,129,33.00,7100
Luders 23,270,23.00,
Luders 30,222,30.00,
Luders 33,213,33.00,12800
Luders 36,204,36.00,15000
Luders 44 Ketch,144,44.00,24500
M&R 46,87,46.00,
MacGregor 26,219,25.80,3750
MacGregor 65 Cruising,,65.00,23500
MacGregor 65-2 W,21,65.00,32000
Magellan 40,234,40.00,
Malo 36,144,36.70,16975
Margon 30-2,171,30.00,
Mariah 27,129,27.00,5000
Mariner 28,198,28.00,7450
Mariner 31 Ketch,240,31.00,11500
Mariner 32 Ketch,210,32.00,
Mariner 35 Ketch,222,35.00,
Mariner 36,162,36.00,22386
Mariner 36 Ketch,177,36.00,16000
Mariner 40 Ketch,204,40.00,26500
Mariner 47,162,46.80,32000
Mark 25,210,24.60,4130
Marshall 18 Sanderling,279,18.00,
Marshall 22,273,22.00,5200
Martin 243 ODR,69,24.00,1450
Mason 33,165,33.80,14020
Mason 43,147,43.00,25000
Mason 44,150,43.80,27400
Mason 44 SD,156,43.80,27400
Maxi 108,147,35.40,13200
Maxi 9.5,174,32.00,9500
MC 38,-24,37.24,7055
Medalist 33,237,32.80,11200
Mega 30 Fixed Keel,150,29.90,8589
Mega 30 One Design,144,29.90,4500
Melges 24 ODR,99,24.00,1600
Melges 30 ODR,42,31.80,3500
Melges 32 OD,24,31.80,3800
Mercer 44 CB,138,44.00,27000
Merit 22 FK,213,22.00,2000
Merit 25,171,25.00,2900
Metal Mast 30,153,29.80,7000
MG 38,102,37.80,12800
Migrant 45 Yawl,102,45.00,24200
Mirage 17,258,17.00,
Mirage 24,228,24.00,3700
Mirage 26,210,26.00,5200
Mirage 27-1,204,27.00,6830
Mirage 275,201,27.50,6800
Mirage 28 FR,174,27.50,5580
Mirage 28 Tall Mast,171,27.50,5580
Mirage 29,162,29.00,7200
Mirage 33.8,90,33.80,5150
Mirage 34,93,33.70,4480
Mirage 5.5/20,258,20.00,1200
Montgomery 17,264,17.00,
Moody 31,180,30.80,8750
Moody 33 Eclipse,177,32.50,10900
Moody 346,156,34.50,11200
Moody 36,165,36.00,17000
Moody 376,132,37.80,17204
Moody 416,135,41.80,20600
Moody 422,102,42.00,21000
Moody 425,102,41.70,21000
Moody 46 SD,120,46.20,32714
Moody 47,96,46.50,28500
Moore 24,159,24.00,2050
Moore 30 ODR,45,30.00,3220
Moore 30-2,156,30.00,
Moorings 39 SD,117,39.30,15904
Morgan 22,246,22.00,3500
Morgan 24,219,24.00,5000
Morgan 25,222,24.90,3000
Morgan 27 Outboard,180,27.00,7900
Morgan 28 CB,204,28.00,7600
Morgan 30 Centerboard,204,30.00,10500
Morgan 30/2,174,29.90,10000
Morgan 32 SD,177,31.80,11000
Morgan 33,168,33.00,11000
Morgan 33 Out Islander,204,34.50,14500
Morgan 33T,156,32.80,9800
Morgan 34 B,192,34.00,12500
Morgan 34 CB,192,34.00,12500
Morgan 35,168,35.00,11900
Morgan 36 One Ton,132,36.00,14000
Morgan 36 Out Island,216,35.80,16000
Morgan 36-4,99,36.00,11900
Morgan 36-5,99,36.00,12900
Morgan 366,111,36.00,15500
Morgan 366 CB,126,36.00,11900
Morgan 366 Short Rig,111,36.00,15500
Morgan 366 SM CB,132,36.00,
Morgan 38,156,38.00,16000
Morgan 38-2,138,38.00,17000
Morgan 383 / 384,132,38.00,18000
Morgan 40 Ketch,168,40.00,22000
Morgan 41 CB,144,41.00,19500
Morgan 41 Classic TM,183,41.30,23000
Morgan 42-1,126,42.00,19000
Morgan 43,138,43.00,23500
Morgan 44,174,44.00,23500
Morgan 45,60,45.00,21000
Morgan 45 Centerboard,90,45.50,24500
Morgan 45-3 Racer,51,45.00,21000
Morgan 45R M R Wave,45,45.00,21000
"Morgan Mod 27 ""Argo""",183,27.00,
"Morgan Mod 27 ""Hellion""",168,27.00,
"Morgan Mod 27 ""Suzy Q""",174,27.00,
"Morgan Mod 36-4 ""Outlaw""",93,36.00,10800
Morgan Out Island 28,256,28.00,8000
Morgan Out Island 41 K,192,41.00,27000
Morris  M42,105,42.30,16279
Morris 36 DS,117,36.30,8760
Morris 36 DS Shoal Draft,126,36.30,8900
Morris 36 JUSTINE,156,36.30,15600
Morris 40 SD,135,41.90,25000
Morris 45,45,45.00,27408
Morris 46,105,44.50,28000
Mount Gay 30 ODR,66,31.50,5300
Mumm 36,45,35.80,8200
MX 20 Sport,189,19.70,1700
Mystic 24,210,24.00,
Nantucket 33,162,33.00,10500
Nantucket Island 38,165,38.00,17000
Nathaniel Herreshoff 25,198,32.30,8500
Naugus 30,222,30.00,10027
Nautica 30,186,30.50,7164
Navy 44,93,44.00,31641
Navy 44 Mark 2,81,44.00,28292
Nelson/Marek 41,63,41.00,
Nelson/Marek 46PC,,46.60,19800
Nereus 40,159,39.30,20400
Nevins 40,177,40.00,
New York 30,135,43.00,17792
New York 32,141,45.00,26390
New York 36,111,36.00,10400
New York 40,93,40.00,17000
New York 40-0,42,66.00,48000
New York 48,78,48.00,34400
New Zealand 45,63,44.70,22000
Newport 20,276,20.00,3100
Newport 27 S,204,27.00,6000
Newport 28-2,198,28.30,7000
Newport 30 Phase I,186,30.00,8000
Newport 30 Phase II & III,180,30.00,8000
Newport 30-3 Shoal Draft,192,30.00,8000
Newport 33,174,33.00,9500
Newport 41,114,41.00,17540
"Newport 41 ""S""",117,41.00,18000
Niagara 30,183,30.00,4000
Niagara 31,162,31.00,8500
Niagara 35,150,35.10,15000
Niagara 42,114,42.00,22000
Nicholson 3/4 Ton,144,33.00,10046
Nicholson 345,147,34.40,6285
Nicholson 35-5,159,35.30,15620
Nicholson 35-7,159,35.30,15600
Nicholson 40,120,40.00,22000
Nicholson 70,48,70.00,111700
Nightwind 35,120,34.80,12800
Noe 27,141,27.30,4680
Nomad 26,237,26.00,
Nonsuch 22,246,22.00,5000
Nonsuch 26,207,26.00,8500
Nonsuch 30,192,30.00,10500
Nonsuch 33,171,33.40,15350
Nonsuch 36,156,36.00,17000
Nordic 26 Grinde,183,26.00,
Nordic 40,105,39.70,18000
Nordica 30,192,29.90,11350
Norlin 34,114,34.00,9900
Norlin 37,108,37.00,19800
Norseman 400,138,40.00,19000
Norseman 400 SD,144,40.00,
Norseman 447,108,44.60,28000
Norseman 447 Shoal Draft,123,44.00,32800
North American 23,240,23.00,2800
North American 40,96,40.00,
North Star 1500 SD,159,35.50,13500
North Star 38,150,38.00,
North Star 48,108,48.00,
North Star 500,228,25.00,4598
North Star 600 SD,204,26.00,4598
North Star 720,204,30.00,
Northcoast 30,183,30.00,8261
Northeast 38 Sloop,180,38.00,16000
Northeast 38 Yawl,198,38.20,16000
Northeast 38-2,165,38.10,17000
Northeast 39-2,87,39.20,14900
Northern 24 1/4 Ton,213,23.70,3400
Northwind 40,120,40.40,18750
Northwind 43,108,42.90,25280
Norvega 28,252,28.00,6000
Norwalk Islands Sharpie 26,192,26.30,3200
O'Day 20 CB,264,19.70,1600
O'Day 22,276,21.70,2183
O'day 222,264,21.67,2623
O'Day 23-1 CB,240,23.00,3725
O'Day 240,228,24.60,3600
O'Day 25 CB OB,249,24.80,3600
O'Day 25 FK,240,24.80,4762
O'Day 26  OB,228,26.00,4800
O'Day 26 Outlaw,228,26.00,5000
O'Day 27 IB,204,27.00,6200
O'Day 27 IB Deep Keel,192,27.00,7425
O'Day 28 CB,207,28.30,7300
O'Day 28 IB,201,28.00,7300
O'Day 30 CB,174,30.00,10600
O'Day 30 FK,168,30.00,10150
O'Day 30-2,174,29.60,7000
O'Day 31 SD,168,31.10,10400
O'Day 32 TM,198,31.90,11000
O'Day 322,168,32.20,10250
O'Day 34,156,34.00,11500
O'Day 35,138,35.00,11500
O'Day 35 Shoal Draft,144,34.90,11500
O'Day 37,165,37.00,14000
O'Day 39,126,39.00,18000
O'Day 39 Shoal Draft,132,39.00,18000
O'Day 40 TM SD,114,39.60,18500
O'Day Mariner FK,285,19.20,1430
"O'Day Mod 34 ""Arrythmia""",132,34.00,11910
"O'Day Mod 34 ""Hornet""",132,34.00,11910
O'Day Tempest,264,23.00,3000
Ocean Voyager 60,102,60.00,42605
Offshore 43 Cat Ketch,174,43.20,22000
Offshore 45 Cat Ketch,144,45.00,
Offshore Cruising 33,300,33.00,13000
Offshore One Design 34,120,34.00,8050
Ohlson 35,198,35.60,9010
Ohlson 35 Yawl,201,35.00,
Ohlson 36,180,36.00,
Ohlson 36-1,,36.00,12363
Ohlson 38 Sloop,150,38.00,16192
Ohlson 38 Yawl,162,38.00,16192
Ohlson 38-0 Yawl,141,38.00,1
Ohlson 38-2,138,38.00,16192
Ohlson Harmony 31,228,31.00,
Olson 25,162,25.00,2900
Olson 29 IB,117,29.80,3600
Olson 29 OB,105,29.80,3600
Olson 30 Inboard,114,30.00,3600
Olson 30 Outboard,111,30.00,3600
Olson 34,111,34.00,10604
Olson 34 Tall Mast,108,34.00,9000
Olson 40,51,40.30,10350
Olson 911 E,132,29.90,8500
Olson 911S,126,29.90,7200
Olympic 33,165,33.00,
Omega 30,150,30.80,7000
Omega 36,117,36.00,11300
Omega 46,90,46.55,24900
One Design 35 ODR,39,35.00,6500
One Design 48,-33,48.30,17937
Orion 50 Ketch,102,49.50,36600
Outbound 46,93,46.40,30073
Outlaw 26,240,26.00,
Overseas 35,180,35.20,14760
Owens 40,147,40.00,
Owens 48,147,48.00,
Oyster 395 Lightwave,66,39.30,11150
Oyster 43,78,42.40,18500
Oyster Lightwave 48,57,48.00,27000
Paceship 25 Eastwind,300,25.00,4600
Paceship 29 Northwind,192,29.00,6600
Paceship Yachts 23 CB,240,22.60,2300
Paceship Yachts 26,,26.30,5800
Paceship Yachts 28,168,28.00,
Paceship Yachts 32/28,156,32.30,14000
Pacific Seacraft 31,210,31.00,11000
Pacific Seacraft 40,150,42.20,24000
Panda 40,180,39.90,33200
Passport 37,132,37.00,17360
Passport 40 TM,135,39.40,23000
Passport 41,132,41.70,22690
Pearson 10M,147,33.00,12441
Pearson 10M TM,144,33.00,12441
Pearson 22,246,22.30,2600
Pearson 23,240,23.00,3500
Pearson 23 Cat Boat,240,23.00,3000
Pearson 25,213,25.00,3750
Pearson 26,222,26.00,5400
Pearson 26 OD,219,26.00,5200
Pearson 27-2,210,26.90,5800
Pearson 28,195,28.00,8200
Pearson 28-2,192,28.00,7850
Pearson 30,183,30.00,8320
Pearson 300,240,30.25,10000
Pearson 303,171,30.30,10400
Pearson 303 Shoal Draft,174,30.30,10400
Pearson 31,174,31.00,9400
Pearson 31-2 Deep Keel,162,30.80,10000
Pearson 31-2 Wing,171,30.80,10200
Pearson 32,165,31.70,9400
Pearson 323,198,32.20,12800
Pearson 33,186,33.00,10900
Pearson 33-2,150,32.50,11000
Pearson 33-2 CB,156,32.50,11750
Pearson 34,144,34.00,11240
Pearson 34 CB,150,34.00,11750
Pearson 34 Tall Mast,138,34.00,11240
Pearson 34-2,144,34.50,11500
Pearson 35,180,35.00,13000
Pearson 36,138,36.00,13650
Pearson 36-2,129,36.30,15000
Pearson 36-2 Centerboard,132,36.30,15850
Pearson 365 Cutter,216,36.40,17000
Pearson 37,108,37.00,12800
Pearson 37 SD,111,36.90,12800
Pearson 386,180,38.30,16115
Pearson 39 CB Sloop,129,39.30,17000
Pearson 39 Centerboard,114,39.30,17500
Pearson 39-2,108,39.30,17500
Pearson 390,175,39.00,20600
Pearson 40,117,40.00,22800
Pearson 419,165,41.90,23000
Pearson 42 BT,198,42.00,
Pearson 422 Sloop,168,42.20,22000
Pearson 424 Cutter,168,42.00,21000
Pearson 43,126,43.00,21796
Pearson 530 CB,141,53.60,43000
Pearson Ariel,252,25.60,5100
Pearson Commander,252,25.60,5100
Pearson Countess 44 Ketch,210,44.00,24500
Pearson Electra,273,22.00,3000
Pearson Ensign,252,22.50,3000
Pearson Flyer,141,30.00,6135
Pearson Invader,192,31.00,
Pearson Invicta,186,38.00,15000
Pearson Lark,258,24.00,4300
"Pearson Mod 10M ""Captain Morgan""",144,33.00,12441
"Pearson Mod 36 ""Gusto""",,36.00,
"Pearson Mod 37 ""Quicksilver""",96,37.00,11000
"Pearson Mod 37 ""Red Duster""",96,37.00,12800
Pearson Renegade,234,27.10,6500
Pearson Triton FR,261,28.50,6930
Pearson Triton MH,246,28.60,8864
Pearson Vanguard,207,32.00,10300
Pearson Wanderer,198,30.30,9800
Peterson 25 1/4 Ton,210,25.00,4700
Peterson 30 1/2 Ton,168,30.00,7300
Peterson 33,144,33.00,9000
Peterson 34,114,34.00,10800
Peterson 37 Wiggers,87,37.00,12000
Peterson 43,63,43.00,
Peterson 44 (Kelly),141,43.90,33500
"Peterson Mod 37 Wiggers ""Blue Yankee""",87,37.00,13000
"Peterson Mod 37 Wiggers ""Bootlegger""",87,37.00,12000
"Peterson Mod 37 Wiggers ""Rumble Fish""",87,37.00,12000
"Peterson Mod 37 Wiggers ""Spitfire""",87,37.00,11000
Pisces 21,294,20.80,3250
Plastrend 30,162,30.00,10500
Plastrend 32,156,32.00,10400
"Plastrend Mod 30 ""Jet""",132,30.00,
"Plastrend Mod 30 ""Strider""",162,30.00,
Pogo 10.5,78,34.40,9372
Pogo 2,120,21.30,2215
Pointon 29,,29.00,8330
Poitin 24,204,23.80,3750
Pretorian 35,141,35.00,14000
Pro 25,78,24.60,1730
Puma 23,240,23.00,2970
Quest 30 IB,93,30.00,6550
Quest 30 OB,84,30.00,6550
Quest 33,90,32.50,6500
Quickstep 24,240,23.90,4000
Quincy Adams 17 ODR,210,26.50,3800
Raider 33,144,33.00,9300
Rainbow 24,258,24.00,2250
Ranger 22,216,22.00,2180
Ranger 23,240,23.00,3400
Ranger 23 Tall Rig,222,23.00,3400
Ranger 26,201,26.30,5860
Ranger 28 TM,186,28.00,7160
Ranger 29,189,28.60,6700
Ranger 30,174,30.00,9000
Ranger 32,162,32.50,9500
Ranger 33,162,33.20,10500
Ranger 37,126,37.00,15200
Ranger Fun,177,23.30,1875
"Ranger Mod 29 ""Emancipate""",183,29.00,
"Ranger Mod 30 ""Secret""",168,30.00,
"Ranger Mod 33 ""Banoo""",156,33.00,
"Ranger Mod 33 ""Hustler III""",150,33.00,
RC 44,-45,43.80,7850
Rebel 30,84,30.80,6720
Rhodes 19 Keel,270,19.20,1355
Rhodes 22 Continental,258,22.00,2500
Rhodes 33 Swiftsure,198,33.00,11500
Rhodes 41,174,40.80,18500
Rhodes Idler,252,25.00,
Rhodes Reliant,120,42.00,22000
Rival 38 Cutter,141,37.60,17196
Robb 35,234,35.00,
Roberts Bruce 25,237,24.40,3800
Roberts Bruce 29,180,29.00,9030
Robinhood 40,141,40.80,27050
Rocket 22,105,22.00,1919
Rodgers 24,186,24.00,2200
Rodgers 26,171,26.00,5650
Rodgers 32,129,32.80,10000
RS {LDC} {Racing Sailboats} K6,105,19.00,616
S&S 30,150,30.50,6000
S2 10.3,117,34.00,10500
S2 11.0,147,36.00,15000
S2 11.0C,141,36.00,16000
S2 27 Inboard,186,26.60,5000
S2 6.7,207,22.00,2200
S2 6.9,210,22.00,2200
S2 7.3,234,23.83,3250
S2 7.9,174,25.90,4250
S2 7.9 Fixed Keel,162,25.90,4810
S2 8.0 B,216,26.00,4600
S2 8.5,192,27.50,7600
S2 8.6,162,28.00,7600
S2 9.1,135,29.80,7850
S2 9.1 Short Rig,138,29.80,8000
S2 9.2 A,180,30.00,9800
S2 9.2C,183,30.00,9800
Sabre 28,207,28.00,7900
Sabre 28-2,204,28.00,7900
Sabre 28-3,189,28.00,7500
Sabre 28-3 SD,195,28.00,8000
Sabre 30-1,183,30.00,8600
Sabre 30-1 Shoal Draft,183,30.00,8600
Sabre 30-2,171,29.90,8900
Sabre 30-3,162,30.60,8900
Sabre 30-3 Shoal Draft,174,30.00,9600
Sabre 32,165,32.00,
Sabre 34,156,34.00,11400
Sabre 34 CB,162,33.70,11700
Sabre 34-2,141,34.20,11500
Sabre 34-2 CB,147,34.20,11800
Sabre 34-2 W,147,34.10,11900
Sabre 36,126,36.00,13200
Sabre 36 CB,129,36.00,13500
Sabre 362,114,36.20,13800
Sabre 362 CB,132,36.00,15000
Sabre 362 TM,111,36.10,13800
Sabre 362 W,132,36.10,13800
Sabre 38-1,123,37.80,15200
Sabre 38-1 Centerboard,129,37.83,15600
Sabre 38-2,117,38.70,17300
Sabre 38-2 Centerboard,126,38.70,17300
Sabre 38-2 Wing,126,38.70,17300
Sabre 386 Wing,120,38.60,17800
Sabre 402 Shoal Draft,81,40.20,18500
Sabre 402 W,87,40.20,19000
Sabre 42 CB,102,41.80,19200
Sabre 425 WK,99,42.40,19200
Sabre 426,78,42.50,24500
Sabre 426 Mk2,78,42.50,24000
Sabre 426 W,84,42.60,24595
Sabre 452,48,45.20,26500
Sabre 452 W,54,45.20,26750
"Sabre Mod 28 ""Sundancer""",192,28.00,7600
Sabre SPIRIT,75,36.70,10500
Saga 35,150,35.50,12810
Saga 43,84,43.30,19842
Sailstar Courier,234,24.00,
Sakonnet 23,234,23.20,2000
Salona 380,78,38.00,16424
Salona 41,54,41.00,16535
San Juan 21,252,21.00,1250
San Juan 23,240,23.00,2700
San Juan 24,216,24.00,4700
San Juan 24 1/4 Ton,210,24.00,
San Juan 26,246,26.00,4400
San Juan 28,189,28.00,7700
San Juan 30 TM,171,29.90,7200
San Juan 33,114,33.00,6000
"San Juan 33 M ""Rapport""",108,33.00,6300
San Juan 33S,129,33.00,6400
San Juan 7.7,186,25.00,3200
Santa Cruz 27 OB,147,27.00,3000
Santa Cruz 37,33,37.00,8699
