boat,phrf,loa
Lancer 36 MH,141,36.00
Landing School 26,207,26.00
Lapworth 24,264,24.00
Lapworth 32,198,32.00
Lapworth 36,162,36.00
Lapworth 40,162,40.00
Lapworth 44,120,44.00
Laser 28,135,28.40
Lazy Jack 32,234,31.70
Liberty 458,138,45.70
Lindenberg 22,210,22.00
Lindenberg 24,165,24.00
Lindenberg 26 IB,183,26.00
Lindenberg 28 Tall Rig,120,28.00
Lindenberg 30,123,30.00
Lindenberg 33,,33.00
Lion 35,234,35.00
Lippincott 30,177,30.00
Lippincott 30 Shoal Draft,180,30.00
Little Harbor 38 CB,126,38.00
Little Harbor 39,75,39.80
Little Harbor 44,111,44.20
Little Harbor 50 CB,69,50.90
Little Harbor 52 CB,69,52.30
Little Harbor 53 CB,69,52.70
Little Harbor 54 Centerboard,69,53.20
Little Harbor 60 CB,30,60.40
Little Harbor 62 CB,30,61.60
Little Harbor 78,24,78.00
Loki Yawl,174,38.10
Lord Nelson 41,156,41.00
LS 10,129,33.00
Luders 23,270,23.00
Luders 30,222,30.00
Luders 33,213,33.00
Luders 36,204,36.00
Luders 44 Ketch,144,44.00
M&R 46,87,46.00
MacGregor 26,219,25.80
MacGregor 65 Cruising,,65.00
MacGregor 65-2 W,21,65.00
Magellan 40,234,40.00
Malo 36,144,36.70
Margon 30-2,171,30.00
Mariah 27,129,27.00
Mariner 28,198,28.00
Mariner 31 Ketch,240,31.00
Mariner 32 Ketch,210,32.00
Mariner 35 Ketch,222,35.00
Mariner 36,162,36.00
Mariner 36 Ketch,177,36.00
Mariner 40 Ketch,204,40.00
Mariner 47,162,46.80
Mark 25,210,24.60
Marshall 18 Sanderling,279,18.00
Marshall 22,273,22.00
Martin 243 ODR,69,24.00
Mason 33,165,33.80
Mason 43,147,43.00
Mason 44,150,43.80
Mason 44 SD,156,43.80
Maxi 108,147,35.40
Maxi 9.5,174,32.00
MC 38,-24,37.24
Medalist 33,237,32.80
Medalist 33 TM,228,0.00
Mega 30 Fixed Keel,150,29.90
Mega 30 One Design,144,29.90
Melges 24 ODR,99,24.00
Melges 30 ODR,42,31.80
Melges 32 OD,24,31.80
Mercer 44 CB,138,44.00
Merit 22 FK,213,22.00
Merit 25,171,25.00
Metal Mast 30,153,29.80
MG 38,102,37.80
Migrant 45 Yawl,102,45.00
Mirage 17,258,17.00
Mirage 24,228,24.00
Mirage 26,210,26.00
Mirage 27-1,204,27.00
Mirage 275,201,27.50
Mirage 28 FR,174,27.50
Mirage 28 Tall Mast,171,27.50
Mirage 29,162,29.00
Mirage 33.8,90,33.80
Mirage 34,93,33.70
Mirage 5.5/20,258,20.00
Montgomery 17,264,17.00
Moody 31,180,30.80
Moody 33 Eclipse,177,32.50
Moody 346,156,34.50
Moody 36,165,36.00
Moody 376,132,37.80
Moody 416,135,41.80
Moody 422,102,42.00
Moody 425,102,41.70
Moody 46 SD,120,46.20
Moody 47,96,46.50
Moore 24,159,24.00
Moore 30 ODR,45,30.00
Moore 30-2,156,30.00
Moorings 39 SD,117,39.30
Morgan 22,246,22.00
Morgan 24,219,24.00
Morgan 25,222,24.90
Morgan 27 Outboard,180,27.00
Morgan 28 CB,204,28.00
Morgan 30 Centerboard,204,30.00
Morgan 30/2,174,29.90
Morgan 32 SD,177,31.80
Morgan 33,168,33.00
Morgan 33 Out Islander,204,34.50
Morgan 33T,156,32.80
Morgan 34 B,192,34.00
Morgan 34 CB,192,34.00
Morgan 35,168,35.00
Morgan 36 One Ton,132,36.00
Morgan 36 Out Island,216,35.80
Morgan 36-4,99,36.00
Morgan 36-5,99,36.00
Morgan 366,111,36.00
Morgan 366 CB,126,36.00
Morgan 366 Short Rig,111,36.00
Morgan 366 SM CB,132,36.00
Morgan 36DS SD,123,0.00
Morgan 38,156,38.00
Morgan 38-2,138,38.00
Morgan 383 / 384,132,38.00
Morgan 40 Ketch,168,40.00
Morgan 41 CB,144,41.00
Morgan 41 Classic TM,183,41.30
Morgan 42-1,126,42.00
Morgan 43,138,43.00
Morgan 44,174,44.00
Morgan 45,60,45.00
Morgan 45 Centerboard,90,45.50
Morgan 45-3 Racer,51,45.00
Morgan 45R M R Wave,45,45.00
"Morgan Mod 27 ""Argo""",183,27.00
"Morgan Mod 27 ""Hellion""",168,27.00
"Morgan Mod 27 ""Suzy Q""",174,27.00
"Morgan Mod 36-4 ""Outlaw""",93,36.00
Morgan Out Island 28,256,28.00
Morgan Out Island 41 K,192,41.00
Morris  M42,105,42.30
Morris 36 DS,117,36.30
Morris 36 DS Shoal Draft,126,36.30
Morris 36 JUSTINE,156,36.30
Morris 40 SD,135,41.90
Morris 45,45,45.00
Morris 46,105,44.50
Mount Gay 30 ODR,66,31.50
Mumm 36,45,35.80
MX 20 Sport,189,19.70
Mystic 24,210,24.00
Nantucket 33,162,33.00
Nantucket Island 38,165,38.00
Nathaniel Herreshoff 25,198,32.30
Naugus 30,222,30.00
Nautica 30,186,30.50
Nauticat 35,180,0.00
Navy 44,93,44.00
Navy 44 Mark 2,81,44.00
Nelson/Marek 41,63,41.00
Nelson/Marek 46PC,,46.60
Nereus 40,159,39.30
Nevins 40,177,40.00
New York 30,135,43.00
New York 32,141,45.00
New York 36,111,36.00
New York 40,93,40.00
New York 40-0,42,66.00
New York 48,78,48.00
New Zealand 45,63,44.70
Newport 20,276,20.00
Newport 27 S,204,27.00
Newport 28-2,198,28.30
Newport 30 Phase I,186,30.00
Newport 30 Phase II & III,180,30.00
Newport 30-3 Shoal Draft,192,30.00
Newport 33,174,33.00
Newport 41,114,41.00
"Newport 41 ""S""",117,41.00
Niagara 30,183,30.00
Niagara 31,162,31.00
Niagara 35,150,35.10
Niagara 42,114,42.00
Nicholson 3/4 Ton,144,33.00
Nicholson 345,147,34.40
Nicholson 35-5,159,35.30
Nicholson 35-7,159,35.30
Nicholson 40,120,40.00
Nicholson 70,48,70.00
Nightwind 35,120,34.80
Noe 27,141,27.30
Nomad 26,237,26.00
Nonsuch 22,246,22.00
Nonsuch 26,207,26.00
Nonsuch 30,192,30.00
Nonsuch 33,171,33.40
Nonsuch 36,156,36.00
Nordic 26 Grinde,183,26.00
Nordic 40,105,39.70
Nordica 30,192,29.90
Norlin 34,114,34.00
Norlin 37,108,37.00
Norseman 400,138,40.00
Norseman 400 SD,144,40.00
Norseman 447,108,44.60
Norseman 447 Shoal Draft,123,44.00
North American 23,240,23.00
North American 40,96,40.00
North Star 1500 SD,159,35.50
North Star 38,150,38.00
North Star 48,108,48.00
North Star 500,228,25.00
North Star 600 SD,204,26.00
North Star 720,204,30.00
Northcoast 30,183,30.00
Northeast 38 Sloop,180,38.00
Northeast 38 Yawl,198,38.20
Northeast 38-2,165,38.10
Northeast 39-2,87,39.20
Northern 24 1/4 Ton,213,23.70
Northwind 40,120,40.40
Northwind 43,108,42.90
Norvega 28,252,28.00
Norwalk Islands Sharpie 26,192,26.30
O'Day 20 CB,264,19.70
O'Day 22,276,21.70
O'day 222,264,21.67
O'Day 23-1 CB,240,23.00
O'Day 240,228,24.60
O'Day 25 CB OB,249,24.80
O'Day 25 FK,240,24.80
O'Day 26  OB,228,26.00
O'Day 26 Outlaw,228,26.00
O'Day 27 IB,204,27.00
O'Day 27 IB Deep Keel,192,27.00
O'Day 28 CB,207,28.30
O'Day 28 IB,201,28.00
O'Day 30 CB,174,30.00
O'Day 30 FK,168,30.00
O'Day 30-2,174,29.60
O'Day 31 SD,168,31.10
O'Day 32 TM,198,31.90
O'Day 322,168,32.20
O'Day 34,156,34.00
O'Day 35,138,35.00
O'Day 35 Shoal Draft,144,34.90
O'Day 37,165,37.00
O'Day 39,126,39.00
O'Day 39 Shoal Draft,132,39.00
O'Day 40 TM SD,114,39.60
O'Day Mariner FK,285,19.20
"O'Day Mod 34 ""Arrythmia""",132,34.00
"O'Day Mod 34 ""Hornet""",132,34.00
O'Day Tempest,264,23.00
Ocean Voyager 60,102,60.00
Offshore 43 Cat Ketch,174,43.20
Offshore 45 Cat Ketch,144,45.00
Offshore Cruising 33,300,33.00
Offshore One Design 34,120,34.00
Ohlson 35,198,35.60
Ohlson 35 Yawl,201,35.00
Ohlson 36,180,36.00
Ohlson 36-1,,36.00
Ohlson 38 Sloop,150,38.00
Ohlson 38 Yawl,162,38.00
Ohlson 38-0 Yawl,141,38.00
Ohlson 38-2,138,38.00
Ohlson Harmony 31,228,31.00
Olson 25,162,25.00
Olson 29 IB,117,29.80
Olson 29 OB,105,29.80
Olson 30 Inboard,114,30.00
Olson 30 Outboard,111,30.00
Olson 34,111,34.00
Olson 34 Tall Mast,108,34.00
Olson 40,51,40.30
Olson 911 E,132,29.90
Olson 911S,126,29.90
Olympic 33,165,33.00
Omega 30,150,30.80
Omega 36,117,36.00
Omega 46,90,46.55
One Design 35 ODR,39,35.00
One Design 48,-33,48.30
Orion 50 Ketch,102,49.50
Outbound 46,93,46.40
Outlaw 26,240,26.00
Overseas 35,180,35.20
Owens 40,147,40.00
Owens 48,147,48.00
Oyster 395 Lightwave,66,39.30
Oyster 43,78,42.40
Oyster Lightwave 48,57,48.00
Paceship 25 Eastwind,300,25.00
Paceship 29 Northwind,192,29.00
Paceship Yachts 23 CB,240,22.60
Paceship Yachts 26,,26.30
Paceship Yachts 28,168,28.00
Paceship Yachts 32/28,156,32.30
Pacific Seacraft 31,210,31.00
Pacific Seacraft 40,150,42.20
Panda 40,180,39.90
Passport 37,132,37.00
Passport 40 TM,135,39.40
Passport 41,132,41.70
Pearson 10M,147,33.00
Pearson 10M TM,144,33.00
Pearson 22,246,22.30
Pearson 23,240,23.00
Pearson 23 Cat Boat,240,23.00
Pearson 25,213,25.00
Pearson 26,222,26.00
Pearson 26 OD,219,26.00
Pearson 27-2,210,26.90
Pearson 28,195,28.00
Pearson 28-2,192,28.00
Pearson 30,183,30.00
Pearson 300,240,30.25
Pearson 303,171,30.30
Pearson 303 Shoal Draft,174,30.30
Pearson 31,174,31.00
Pearson 31-2 Deep Keel,162,30.80
Pearson 31-2 Wing,171,30.80
Pearson 32,165,31.70
Pearson 323,198,32.20
Pearson 33,186,33.00
Pearson 33-2,150,32.50
Pearson 33-2 CB,156,32.50
Pearson 34,144,34.00
Pearson 34 CB,150,34.00
Pearson 34 Tall Mast,138,34.00
Pearson 34-2,144,34.50
Pearson 35,180,35.00
Pearson 36,138,36.00
Pearson 36-2,129,36.30
Pearson 36-2 Centerboard,132,36.30
Pearson 365 Cutter,216,36.40
Pearson 37,108,37.00
Pearson 37 SD,111,36.90
Pearson 386,180,38.30
Pearson 39 CB Sloop,129,39.30
Pearson 39 Centerboard,114,39.30
Pearson 39-2,108,39.30
Pearson 390,175,39.00
Pearson 40,117,40.00
Pearson 419,165,41.90
Pearson 42 BT,198,42.00
Pearson 422 Sloop,168,42.20
Pearson 424 Cutter,168,42.00
Pearson 43,126,43.00
Pearson 530 CB,141,53.60
Pearson Ariel,252,25.60
Pearson Commander,252,25.60
Pearson Countess 44 Ketch,210,44.00
Pearson Electra,273,22.00
Pearson Ensign,252,22.50
Pearson Flyer,141,30.00
Pearson Invader,192,31.00
Pearson Invicta,186,38.00
Pearson Lark,258,24.00
"Pearson Mod 10M ""Captain Morgan""",144,33.00
"Pearson Mod 36 ""Gusto""",,36.00
"Pearson Mod 37 ""Quicksilver""",96,37.00
"Pearson Mod 37 ""Red Duster""",96,37.00
Pearson Renegade,234,27.10
Pearson Triton FR,261,28.50
Pearson Triton MH,246,28.60
Pearson Vanguard,207,32.00
Pearson Wanderer,198,30.30
Peterson 25 1/4 Ton,210,25.00
Peterson 30 1/2 Ton,168,30.00
Peterson 33,144,33.00
Peterson 34,114,34.00
Peterson 37 Wiggers,87,37.00
Peterson 43,63,43.00
Peterson 44 (Kelly),141,43.90
"Peterson Mod 37 Wiggers ""Blue Yankee""",87,37.00
"Peterson Mod 37 Wiggers ""Bootlegger""",87,37.00
"Peterson Mod 37 Wiggers ""Rumble Fish""",87,37.00
"Peterson Mod 37 Wiggers ""Spitfire""",87,37.00
Pisces 21,294,20.80
Plastrend 30,162,30.00
Plastrend 32,156,32.00
"Plastrend Mod 30 ""Jet""",132,30.00
"Plastrend Mod 30 ""Strider""",162,30.00
Pogo 10.5,78,34.40
Pogo 2,120,21.30
Pointon 29,,29.00
Poitin 24,204,23.80
Pretorian 35,141,35.00
Pro 25,78,24.60
Puma 23,240,23.00
Quest 30 IB,93,30.00
Quest 30 OB,84,30.00
Quest 33,90,32.50
Quickstep 24,240,23.90
Quincy Adams 17 ODR,210,26.50
Raider 33,144,33.00
Rainbow 24,258,24.00
Ranger 22,216,22.00
Ranger 23,240,23.00
Ranger 23 Tall Rig,222,23.00
Ranger 26,201,26.30
Ranger 28 TM,186,28.00
Ranger 29,189,28.60
Ranger 30,174,30.00
Ranger 32,162,32.50
Ranger 33,162,33.20
Ranger 37,126,37.00
Ranger Fun,177,23.30
"Ranger Mod 29 ""Emancipate""",183,29.00
"Ranger Mod 30 ""Secret""",168,30.00
"Ranger Mod 33 ""Banoo""",156,33.00
"Ranger Mod 33 ""Hustler III""",150,33.00
RC 44,-45,43.80
Rebel 30,84,30.80
ReediCheep,192,0.00
Rhodes 19 Keel,270,19.20
Rhodes 22 Continental,258,22.00
Rhodes 33 Swiftsure,198,33.00
Rhodes 41,174,40.80
Rhodes Idler,252,25.00
Rhodes Reliant,120,42.00
Rival 38 Cutter,141,37.60
Robb 35,234,35.00
Roberts Bruce 25,237,24.40
Roberts Bruce 29,180,29.00
Robinhood 40,141,40.80
Rocket 22,105,22.00
Rodgers 24,186,24.00
Rodgers 26,171,26.00
Rodgers 32,129,32.80
RS {LDC} {Racing Sailboats} K6,105,19.00
S&S 30,150,30.50
S2 10.3,117,34.00
S2 11.0,147,36.00
S2 11.0C,141,36.00
S2 27 Inboard,186,26.60
S2 6.7,207,22.00
S2 6.9,210,22.00
S2 7.3,234,23.83
S2 7.9,174,25.90
S2 7.9 Fixed Keel,162,25.90
S2 8.0 B,216,26.00
S2 8.5,192,27.50
S2 8.6,162,28.00
S2 9.1,135,29.80
S2 9.1 Short Rig,138,29.80
S2 9.2 A,180,30.00
S2 9.2C,183,30.00
Sabre 28,207,28.00
Sabre 28-2,204,28.00
Sabre 28-3,189,28.00
Sabre 28-3 SD,195,28.00
Sabre 30-1,183,30.00
Sabre 30-1 Shoal Draft,183,30.00
Sabre 30-2,171,29.90
Sabre 30-3,162,30.60
Sabre 30-3 Shoal Draft,174,30.00
Sabre 32,165,32.00
Sabre 34,156,34.00
Sabre 34 CB,162,33.70
Sabre 34-2,141,34.20
Sabre 34-2 CB,147,34.20
Sabre 34-2 W,147,34.10
Sabre 36,126,36.00
Sabre 36 CB,129,36.00
Sabre 362,114,36.20
Sabre 362 CB,132,36.00
Sabre 362 TM,111,36.10
Sabre 362 W,132,36.10
Sabre 38-1,123,37.80
Sabre 38-1 Centerboard,129,37.83
Sabre 38-2,117,38.70
Sabre 38-2 Centerboard,126,38.70
Sabre 38-2 Wing,126,38.70
Sabre 386 Wing,120,38.60
Sabre 402 Shoal Draft,81,40.20
Sabre 402 W,87,40.20
Sabre 42 CB,102,41.80
Sabre 425 WK,99,42.40
Sabre 426,78,42.50
Sabre 426 Mk2,78,42.50
Sabre 426 W,84,42.60
Sabre 452,48,45.20
Sabre 452 W,54,45.20
"Sabre Mod 28 ""Sundancer""",192,28.00
Sabre SPIRIT,75,36.70
Saga 35,150,35.50
Saga 43,84,43.30
Sailstar Courier,234,24.00
Sakonnet 23,234,23.20
Salona 380,78,38.00
Salona 41,54,41.00
San Juan 21,252,21.00
San Juan 23,240,23.00
San Juan 24,216,24.00
San Juan 24 1/4 Ton,210,24.00
San Juan 26,246,26.00
San Juan 28,189,28.00
San Juan 30 TM,171,29.90
San Juan 33,114,33.00
"San Juan 33 M ""Rapport""",108,33.00
San Juan 33S,129,33.00
San Juan 7.7,186,25.00
Santa Cruz 27 OB,147,27.00
Santa Cruz 37,33,37.00
Santa Cruz 40,45,40.00
Santa Cruz 52,-6,53.00
Santa Cruz 70,-66,70.00
Santa Cruz 72,-78,72.30
"Santa Cruz Mod 27 ""Big Bird""",141,27.00
Santana 20,222,20.00
Santana 21,264,21.00
Santana 22,246,22.00
Santana 23,174,23.00
Santana 25,222,25.00
Santana 25 1/4 Ton,210,24.60
Santana 26,298,26.00
Santana 27,298,27.00
Santana 28,186,28.00
Santana 30 1/2 Ton,183,29.90
Santana 30/30 Cruiser,132,30.00
Santana 30/30 Grand Prix,120,30.00
Santana 30/30 Racer/Cruiser,129,30.00
Santana 35,126,35.00
Santana 37,132,37.00
Santana 525,186,25.00
"Santana Mod 30/30 CR ""Riley Coyote""",135,30.00
"Santana Mod 30/30 RC ""Falstaff""",123,30.00
Scampi 30-1,177,30.00
Scampi 30-3,180,29.60
Scampi 30-4,183,29.80
"Scampi Mod 30-4 ""Tootsie""",171,29.80
Scanmar 33,162,33.20
Scanmar 35,159,35.10
Scanmar 37,39,37.00
Schock 22,300,22.00
Schock 25,240,25.00
Schock 34 PC Wing,123,33.90
Schock 346,96,33.90
Schock 34PC,117,33.80
Schock 35,72,35.00
Schock 35 Wing,93,35.00
Schock 40,6,40.00
Schock 41,66,40.80
Schock Harbor 30,120,30.90
Sea Sprite 23,276,22.50
Sea Sprite 27 IB,231,27.00
Sea Sprite 30,225,30.20
Sea Sprite 34,192,33.90
Seafarer 22,270,21.70
Seafarer 24,234,24.00
Seafarer 29,219,28.70
Seafarer 30,183,30.00
Seafarer 30-1,186,30.40
Seafarer 31,222,31.20
Seafarer 31 Mark II,183,31.00
Seafarer 31 Yawl,225,31.20
Seafarer 34,189,34.00
Seafarer 37,132,37.00
Seafarer Challenger 23,264,22.70
Seafarer Kestral,270,23.00
Seafarer Meridian Mk II,252,25.60
Seguin 40,102,39.70
Seguin 44 CB TM,96,45.80
Seidelmann 25 OB,216,25.00
Seidelmann 285,156,28.40
Seidelmann 29.9,177,29.00
Seidelmann 295,177,29.40
Seidelmann 30 SD,180,29.90
Seidelmann 30 T,174,30.00
Seidelmann 34,159,34.00
Seidelmann 37,126,37.00
Seidelmann 37 Shoal Draft Short Rig,138,37.00
Seidelmann 37 Short Rig,129,37.00
Shamrock 30,165,30.00
Shannon 39 Centerboard Cutter,177,38.58
Shark 24,228,24.00
Shark 50,45,52.50
Shields,168,30.30
Shipman 29,177,29.00
Show Barberis 27,192,27.50
Show Barberis 29,180,29.50
Show Barberis 30,162,30.00
Show Barberis 34,128,34.00
Show Barberis 36,126,35.40
Show Barberis 38,108,37.70
Show Barberis 42,84,41.40
Sigma 38,162,38.30
Sigma 41 TM,96,41.80
Signet 20,292,19.80
Sinergia 40,36,39.60
Sirena 38,102,38.10
Sirena 44,75,44.00
Six Meter,132,33.30
Skye 51 K,84,50.80
Snapdragon 24,270,23.00
Soling,150,26.80
Sonar,174,23.00
Sonic 23,216,23.00
South Coast 23,288,23.00
Southern 21,264,20.50
Southern Cross 31,246,30.40
Southern Cross 39,138,43.00
Sovereign 23,252,23.00
Soverel 26,171,26.00
Soverel 26 Inboard,177,26.00
Soverel 27,141,26.50
Soverel 27 Outboard,135,26.50
Soverel 28,222,28.00
Soverel 30,126,30.00
Soverel 33 Inboard,90,33.00
Soverel 36,114,35.80
Soverel 39,60,38.40
Sparkman & Stevens 32,171,32.00
Sparkman & Stevens 34,174,33.30
Sparkman & Stevens 34 TM,162,33.50
Sparkman & Stevens 40,168,40.00
Sparkman & Stevens 47,99,47.00
Sparstep 39,138,38.90
Spice Island 40,180,40.00
Sprinta Sport,207,23.00
SR 21,174,21.10
SR 33 IB,75,33.10
Standfast 33,156,32.80
Standfast 36,126,36.00
Standfast 40,96,40.00
Star ODR,132,22.60
Starwind 27 IB SD,189,26.70
Stevens 47C,93,47.00
Stevens Custom 50,72,49.70
Stonehorse 26,276,23.30
Stuart Knockabout 28,189,28.00
Summit 35,51,35.10
Summit MD 35,45,35.00
Swan 36,150,35.80
Swan 36-2,117,36.00
Swan 37 TM,123,37.00
Swan 371,126,36.80
Swan 38,123,38.30
Swan 39,81,39.30
Swan 391,90,40.00
Swan 40,126,40.00
Swan 40 TM,123,39.30
Swan 40-2,90,40.20
Swan 40-2 CB,93,40.00
Swan 41,105,41.20
Swan 411,84,40.00
Swan 42,78,42.00
Swan 42-2 NYYC Club 42,-6,42.60
Swan 43,111,43.00
Swan 431,84,43.00
Swan 432,96,42.90
Swan 432 SD,108,42.90
Swan 44,87,44.00
Swan 44 SM,90,44.00
Swan 44-3 Mk II Tall Mast,66,43.80
Swan 441C,69,44.50
Swan 442 Mk I,75,44.00
Swan 45,-18,45.40
Swan 46,63,47.00
Swan 46 CB,63,46.90
Swan 46 TM,60,47.00
Swan 46 TM CB,60,46.90
Swan 46-2,54,47.10
Swan 47 Centerboard,78,47.00
Swan 47 Keel,81,47.00
Swan 48,72,48.00
Swan 48 Short Rig,72,47.90
Swan 48 TM,69,47.90
Swan 48-2,39,48.70
Swan 48-2 CB,48,48.60
Swan 51,36,51.20
Swan 51 Centerboard,42,51.30
Swan 53,33,52.70
Swan 53 CB,42,53.00
Swan 53 Shoal Draft,39,52.70
Swan 53-2,30,54.07
Swan 55,51,57.30
Swan 56,-15,56.40
Swan 57,42,57.30
Swan 57 CB,39,57.00
Swan 57 RS,42,57.40
Swan 60R,-36,61.80
Swan 65,54,65.00
Swan 68,-30,67.50
"Swan Mod 42 ""Joss""",72,42.00
"Swan Mod 44 ""Magik""",84,44.00
"Swan Mod 44 ""White Knight""",84,44.00
Swede 55,84,52.60
"Swede Mod 55 ""Mystic""",84,52.60
Sweden Yachts 34,123,33.50
Sweden Yachts 34,126,33.50
Sweden Yachts 340,126,34.00
Sweden Yachts 340 TM W,129,34.00
Sweden Yachts 36 Deep Keel,117,36.10
Sweden Yachts 36 Wing Keel,117,36.10
Sweden Yachts 37,108,36.60
Sweden Yachts 38 (Cruising 38) Wing,108,38.70
Sweden Yachts 38 TM DK,93,38.60
Sweden Yachts 39 (Cruising 38),96,38.70
Sweden Yachts 390,108,39.00
Sweden Yachts 41 TM,81,41.00
Sweden Yachts 41 Wing Tall Mast,93,41.00
Sweden Yachts 45 Wing,54,46.40
"Sweden Yachts Mod 39 ""Pal Joey""",93,38.70
Sydney 36,51,36.00
Sydney 40 ODR,3,40.90
Sydney 41,15,41.00
Sydney 43,-9,43.00
Sydney 60,-72,60.00
Tangent One,66,42.90
Tanton 32 T2,174,32.10
"Tanton Mod 32 ""Ca Va""",162,32.10
Tanzer 22 Keel,240,22.50
Tanzer 26 OB,222,26.30
Tanzer 31,162,30.60
Tanzer 7.5,219,24.60
Taos 34,180,34.00
Tartan 10,126,33.00
Tartan 10 S,126,33.10
Tartan 26,234,26.00
Tartan 27,234,27.00
Tartan 27 Yawl,240,27.00
Tartan 28,180,28.30
Tartan 28-2,192,28.30
Tartan 30 Comp. Folding,174,30.00
Tartan 30 Competition Solid,171,30.00
Tartan 30 Folding Prop,180,30.00
Tartan 30 Solid Prop,177,30.00
Tartan 3000,165,29.90
Tartan 31,159,30.30
Tartan 31 SD,171,30.30
Tartan 33,159,33.00
Tartan 33R,135,33.00
Tartan 34 Folding Prop,183,34.00
Tartan 34 Solid Prop,180,34.00
Tartan 34-2 DK,129,34.40
Tartan 34-2 SD,144,34.40
Tartan 3400 SD,120,34.40
Tartan 3500,123,35.20
Tartan 3500 Wing,129,35.20
Tartan 37 CB,138,37.00
Tartan 37-3,126,37.20
Tartan 37-3 DK,123,37.20
Tartan 3700 CB,111,37.00
Tartan 38,120,38.00
Tartan 3800,114,38.00
Tartan 40 Centerboard,111,40.30
Tartan 40 Centerboard TM,108,40.30
Tartan 4000 Shoal Draft,93,40.70
Tartan 41 Short Keel Short Rig,114,41.00
Tartan 41 short keel.,111,41.00
Tartan 41 Short Rig,105,41.00
"Tartan 41 Tall rig, Deep keel",99,41.00
Tartan 4100 SD,105,41.30
Tartan 4100 SD TR,102,41.30
Tartan 4100 TR,96,41.30
Tartan 42 SD,123,42.00
Tartan 42 SR SD,126,42.00
Tartan 43,96,43.00
Tartan 43 CB,111,43.00
Tartan 44,102,43.10
Tartan 4400,93,45.00
Tartan 4600 CB,90,46.20
Tartan 4700 Wing,84,47.00
Tartan Black Watch 37,168,37.00
"Tartan Mod 10 ""Impulse""",126,33.00
"Tartan Mod 10 ""Menace""",120,33.00
"Tartan Mod 30 ""Aurora""",177,30.00
"Tartan Mod 42 ""Contessa""",111,42.00
Tartan Offshore Cruising Ketch,144,40.70
Tartan Pride 270,129,26.80
Tashiba 40,138,39.90
Taswell 49,102,48.83
Tavana 33 Centerboard Yawl,210,33.00
Tayana 37,192,36.70
Tayana 45,141,43.20
Tayana 52,141,51.40
Tayana 55,51,55.00
Taylor 23 Mini-Ton,228,23.00
Taylor 38,84,37.40
Taylor 40,63,39.60
Taylor 42,45,41.90
"Taylor Mod 38 ""Caliente""",81,37.40
Texas Marine International 27,168,27.00
Texas Marine International 30,180,29.90
Thomas Marine 35,72,35.50
Thompson 850 OB,51,28.50
Tiburon 44,162,44.00
Tiger 23,228,23.00
TOR 40,177,40.00
Toucan 35 Frac.,75,35.00
Transpac 52,-84,52.00
Triangle 32 CB Ketch,219,32.00
Trintella 42,90,42.30
Trintella 45,105,45.00
Trintella 45 Tall Mast,102,45.00
Trintella 47,96,47.30
Tripp 24 Lentsch,228,24.00
Tripp 26 One Design Rig,120,26.70
Tripp 29 Lentsch,240,28.90
Tripp 33,90,33.00
Tripp 36,72,36.00
Tripp 36 Tall Rig,69,36.00
Tripp 37,87,37.00
Tripp 37 Cruising,87,36.90
Tripp 38,66,38.00
Tripp 41,3,41.00
Tripp 47 FR,6,47.00
Tripp 47 MH,6,47.00
Tripp ILC 40-2,15,41.00
Tristar 48 Ketch,81,48.00
Turner 56,-18,56.70
Tylercraft 21,210,21.00
Tylercraft 29,252,29.00
U. S. Yachts 27-1 CB,198,27.00
U. S. Yachts 30,168,29.90
U. S. Yachts 305,234,30.00
U. S. Yachts 46,165,45.50
UFO 22 ODR,153,22.70
Ultra 30,-27,30.00
Valiant 32,162,32.00
Valiant 40,138,39.90
Valiant 50 Short Mast,105,50.70
VAr 37,111,37.80
Vega 27,240,27.10
Venture 224 MH,222,24.60
Venture 23 Newport,258,22.70
Venture 24 MH,228,24.60
Viking 28 IB,198,28.00
Viking 33,132,33.60
Vindo 35,198,35.00
Vinelander 32,210,31.90
Viper 640 One Design Rig,96,21.10
Viper 830 ODR,69,27.50
Walstead 42,78,41.80
Walters 33,135,33.20
Wasa 37,132,37.00
Watkins 27,234,27.00
Watkins 29/30 Sea Wolf Tall Rig,225,30.00
Watkins 32,192,30.50
Wauquiez 33,141,32.80
Wavelength 24,165,24.00
Wavelength 30,123,30.00
West Indies 36,147,36.30
Westerly Yachts 32 Fulmar,171,31.80
Westerly Yachts 34 GK,126,33.90
Westerly Yachts 38,132,38.50
Westerly Yachts 41,129,40.50
Westerly Yachts Corsair 36,144,35.70
Westerly Yachts GK 24,234,24.00
Westerly Yachts GK 29,180,29.00
Westphall 38,171,38.00
Westsail 32,204,32.00
Westsail 42,156,42.00
Westwind 24,240,23.90
Whitby 42,174,42.00
Whitby 45,105,45.40
Whitney 30,186,30.00
Wylie 28,174,28.00
Wylie 34,123,34.00
Wyliecat 30,147,30.40
X Yachts 102,120,32.90
X Yachts 102TM,114,32.90
X Yachts 119,57,39.40
X Yachts 3/4 Ton -1,111,32.90
X Yachts 3/4 Ton -2,111,32.90
X Yachts 302,132,30.60
X Yachts 332,114,33.80
X Yachts 34,99,34.00
X Yachts 35,63,34.80
X Yachts 362,81,36.10
X Yachts 37,69,37.20
X Yachts 372,93,36.30
X Yachts 382,78,37.70
X Yachts 40,48,40.00
X Yachts 402,81,39.70
X Yachts 41,24,40.50
