boat,phrf,loa
Bristol 29.9 Centerboard,189,29.90
Bristol 30,216,30.00
Bristol 31.1 XL,219,31.00
Bristol 32,222,32.00
Bristol 33,186,33.60
Bristol 34,186,34.00
Bristol 35,192,35.00
Bristol 35 Centerboard,192,35.00
Bristol 35.5 Keel,156,35.50
Bristol 38.8 Centerboard,135,38.40
Bristol 39 TM,162,39.00
Bristol 40,171,40.20
Bristol 40 Y,171,40.00
Bristol 41.1 Keel/Centerboard,126,41.10
Bristol 41.1 Keel/Centerboard Tall Mast,123,41.10
Bristol 43.3,117,43.30
Bristol 45.5,105,45.20
Bristol 45.5 Centerboard,111,45.30
Bristol 47.7,111,47.60
Bristol 56.6,45,56.40
Bristol Corinthian 19/20,300,19.50
Buccaneer 210 0B,282,21.00
Buccaneer 220 Outboard,228,22.00
Buccaneer 270 Outboard,207,27.00
Buccaneer 295,168,29.30
Buccaneer 305,210,30.50
"Buccaneer Mod 295 ""Roulette""",168,29.30
Buchan 29,162,29.00
Buchan 30,180,30.00
Buchan 305,204,30.00
C&C 101,84,33.00
C&C 110,93,36.30
C&C 110 CF,90,36.70
C&C 110 DK,87,36.40
C&C 110 DK CF,84,36.70
C&C 110 TPS CF,87,36.30
C&C 115,66,37.80
C&C 121,69,40.00
C&C 121 W,75,40.00
C&C 24,225,24.00
C&C 24 SK,258,24.00
C&C 25,225,25.00
C&C 25 Inboard,222,25.00
C&C 25 Outboard,228,25.00
C&C 26,210,26.00
C&C 27-1,213,27.00
C&C 27-2,201,27.80
C&C 27-3 Inboard,180,26.50
C&C 27-3 Outboard,174,26.50
C&C 29,177,29.00
C&C 29 Mark II,174,29.00
C&C 29-2 SD,180,29.00
C&C 30,180,30.00
C&C 30-2,159,30.00
C&C 30-2 Wing Keel,171,29.90
C&C 30-3,45,30.01
C&C 31 Corvette,201,31.00
C&C 32,171,32.00
C&C 33,156,33.00
C&C 33 Shoal Draft,159,33.00
C&C 33-2,132,32.50
C&C 34,147,34.00
C&C 34 CB,153,34.00
C&C 34 XL,93,35.50
C&C 34 XL MD,99,35.50
C&C 34+,105,35.50
C&C 34+ CB,105,35.50
C&C 34+ Wing,105,35.50
C&C 34R,93,35.50
C&C 35 Landfall,156,35.00
C&C 35 Mark III,120,34.70
C&C 35-1,126,35.00
C&C 35-2,123,35.00
C&C 35-2 Centerboard,126,35.00
C&C 35-3,120,34.67
C&C 35-3 CB,126,34.70
C&C 35-3 W,129,34.70
C&C 36,138,36.00
C&C 36 Centerboard,144,36.00
C&C 37,114,37.00
C&C 37+,75,39.40
C&C 37+ CB,81,39.40
C&C 37+ Wing,81,39.40
C&C 37R,63,39.40
C&C 37XL,78,39.40
C&C 38,123,38.00
C&C 38 Centerboard,120,38.00
C&C 38 Landfall,141,38.00
C&C 38-3,108,37.50
C&C 39,108,39.00
C&C 40 Centerboard,102,40.00
C&C 40 Centerboard Tall Rig,99,40.00
C&C 40 Regular Mast & Deep Keel,96,40.00
C&C 40 Regular Mast & Keel,99,40.00
C&C 40 Tall Mast Deep Keel,90,40.00
C&C 41,72,41.00
C&C 41 Centerboard,81,41.00
C&C 41 W,90,40.80
C&C 42,87,42.00
C&C 42 Landfall TR,144,42.00
C&C 43,81,43.50
C&C 43 Landfall,138,42.10
C&C 43-2,81,43.00
C&C 43-2 TM,75,43.60
C&C 44 CB,69,44.20
C&C 48,75,48.00
C&C 48 Landfall,129,48.00
C&C 50,48,50.00
C&C 51 XL CB,36,52.00
C&C 99 DK,96,32.50
C&C 99 SD,105,32.50
C&C MI-24,228,24.00
"C&C Mod 32 ""Water Music""",159,32.00
"C&C Mod 33 ""Sparkler III""",147,33.00
"C&C Mod 34 ""C-Chele""",138,34.00
"C&C Mod 34 ""Resolute""",138,34.00
"C&C Mod 35-1 ""Decoy""",120,35.00
"C&C Mod 35-1 ""Osprey""",114,35.00
"C&C Mod 35-1 ""Zzzoom""",117,35.00
"C&C Mod 35-2 ""Blue Eagle""",120,35.00
"C&C Mod 35-2 ""Chickcharnie""",123,35.00
"C&C Mod 37 ""Ceres""",105,37.00
"C&C Mod 37R ""Wave Train""",66,40.00
"C&C Mod 38 ""Cherokee""",111,37.90
"C&C Mod 43-2 ""Silver Shadow""",81,43.00
C&C Redline 41-1,120,41.00
C&C Redline 41-2,18,40.70
C&C Redwing 30,204,30.00
Cal 2-29,186,29.00
Cal 2-30,174,30.00
Cal 20,282,20.00
Cal 21,276,21.00
Cal 24,246,24.00
Cal 24 Mk III,222,24.30
Cal 24-2,228,24.00
Cal 25,228,25.00
Cal 25-2 IB,228,25.30
Cal 25-2 OB,222,25.30
Cal 27 Mark III,204,27.70
Cal 27-2 TM IB,198,27.00
Cal 28 IB,210,28.00
Cal 28-2,180,28.30
Cal 28-2 SD,192,28.20
Cal 29 OB,180,29.00
Cal 3-30,168,30.00
Cal 30,192,30.00
Cal 31,162,31.50
Cal 33,156,33.00
Cal 33-2,132,33.00
Cal 33-2 SD,132,33.00
Cal 34-1,180,34.00
Cal 34-2,174,34.00
Cal 35 Mk II DK,138,35.00
Cal 36,150,36.00
Cal 36 Cruising,168,36.00
Cal 37,108,37.00
Cal 39,114,39.00
Cal 39 Mark II Tall Mast,105,39.00
Cal 39 MARK III TM,105,39.00
Cal 39 SD SR,120,39.00
Cal 39-3 SD,117,39.00
Cal 39-4 Wing Keel,108,39.00
Cal 40,126,40.00
Cal 43,102,43.00
Cal 48,96,48.00
Cal 9.2,180,30.00
Cal 9.2 DK,174,30.00
Cal 9.2R,162,30.00
"Cal Mod 34-1 ""Vertago""",168,33.50
"Cal Mod 39-2 ""Sueno""",102,39.00
Cal T/2 Inboard,198,30.00
Cal T/4 Quarter Ton,234,27.00
Calkins 50,102,50.00
Cambria 40 Centerboard,114,41.00
Cambria 44 Centerboard,90,46.00
Cambria 46 Centerboard,87,46.30
Cape Dory 22 Typhoon Senior,276,22.42
Cape Dory 25 Outboard,246,24.80
Cape Dory 27,240,27.00
Cape Dory 28,216,28.00
Cape Dory 30 Ketch,228,30.00
Cape Dory 30 Sloop,201,30.00
Cape Dory 30 Tall Mast,192,30.00
Cape Dory 300 MS,306,31.90
Cape Dory 32,192,34.16
Cape Dory 33,183,33.00
Cape Dory 36,156,36.00
Cape Dory Intrepid 9M,198,28.00
Cape Dory Typhoon,300,19.00
Cape Fear 38 Regatta,45,37.80
Cape Henry 21,279,20.90
Capri 22,204,22.00
Capri 22 Tall Rig Wing Keel,207,22.00
Capri 22 WK,213,22.00
Capri 25,174,25.00
Capri 37,75,37.00
Cardinal 46,99,46.40
Carlson 29,201,29.00
Carrera 280,96,28.00
Carrera 290,111,29.20
Carter 30,174,30.00
Carter 33,180,33.00
Carter 33 TM,174,33.00
Carter 36,120,35.50
Carter 37,120,37.00
Carter 37 MOD Lively Lady,123,37.10
Carter 38,114,38.00
Carter 39,120,39.00
Carter 41,90,41.60
Cascade 29,228,29.00
Catalina 22,270,22.00
Catalina 22 Sport,273,23.82
Catalina 25 Fixed Keel OB,237,25.00
Catalina 25 OB SK,240,25.00
Catalina 25 TM FK,231,25.00
Catalina 250 CB,216,25.00
Catalina 250 WK,237,25.00
Catalina 27 Inboard,210,27.00
Catalina 27 Shoal Draft Inboard,216,27.00
Catalina 27 Tall Mast Inboard,204,27.00
Catalina 270 W,204,27.00
Catalina 275,189,27.50
Catalina 30,192,30.00
"Catalina 30 Tall Mast, Bow Sprit",183,30.00
Catalina 30 W,201,29.90
Catalina 310 W,177,31.00
Catalina 320 Deep Keel,153,32.50
Catalina 320 W,165,32.60
Catalina 34,156,34.50
Catalina 34 Tall mast,153,34.50
Catalina 34 TM W,162,34.50
Catalina 350 Wing,150,36.40
Catalina 36,150,35.60
Catalina 36 Tall Mast,147,35.60
Catalina 36 TM M SLIGO C,147,35.50
Catalina 36-2,150,36.30
Catalina 38,120,38.00
Catalina 380 W,126,38.40
Catalina 390,126,38.40
Catalina 400 DK,108,40.70
Catalina 400 W,114,40.50
Catalina 42,99,41.80
Catalina 42 Shoal Draft,111,42.00
Catalina 42 W,111,41.80
Catalina 445,108,44.40
Catalina 470 W,123,46.50
Celebrity 19,252,19.00
Centurion 32,180,32.00
Centurion 38,114,37.60
Centurion 38 Scheel,114,37.70
Centurion 42,75,42.20
Centurion 42 SD,81,42.20
Centurion 47 SD,75,47.00
Centurion 50,81,50.50
Challenger 32,222,32.00
Chance 29,150,32.90
Chance 30/28,162,30.00
Chance 30/30 Allied,171,30.00
Chance 32,162,32.00
Chance 33,126,39.20
Chance 36,111,36.00
Chance 37,126,37.00
Chance 39,120,39.00
Chance Offshore 1,132,33.00
Chaser 29,162,29.00
Chaser 33,138,32.80
Cheetah 30 ODR,90,30.30
Cheoy Lee 35 Lion,234,35.00
Cheoy Lee 35 Robb,234,35.00
Cheoy Lee 35 Yawl,246,35.00
Cheoy Lee 36 Clpr,252,36.00
Cheoy Lee 40 Ketch,168,40.00
Cheoy Lee 41 Offshore Ketch,138,40.90
Cheoy Lee 41 Offshore Yawl,150,40.90
Cheoy Lee 44,126,44.00
Cheoy Lee 44 Cutter,144,44.00
Cheoy Lee 48 Ketch,147,47.80
Cheoy Lee Offshore 27,246,27.00
Cheoy Lee Offshore 31 Ketch,306,31.00
Cheoy Lee Offshore 33 Ketch,300,33.00
Cheoy Lee Offshore 40,186,40.00
Cheoy Lee Offshore 47,108,47.00
